feature_row,augmentation_id,parent_feature_row,parent_uuid_segmento,parent_original_uuid,parent_split_group,parent_fold,parent_dataset_origin,parent_audio_path,parent_start_time,parent_end_time,stage1_target,split,transformation,random_state,original_samples,augmented_samples,original_peak,augmented_peak,snr_db,pitch_semitones,noise_scale,noise_donor_uuid_segmento,noise_donor_original_uuid,noise_donor_split_group,noise_donor_fold,noise_donor_dataset_origin
10,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_seg_0__aug01__pitch_down,5,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_seg_0,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,COUGHVID_UUID::00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00bf9f83-2e8f-47cf-a4f2-97f2beceebc1.wav,0.0,2.76,1,train_augmentation_only,pitch_down,42,44160,44160,0.7998274564743042,0.759852945804596,,-1.5,,,,,,
11,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_seg_0__aug02__noise_high,5,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_seg_0,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,COUGHVID_UUID::00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00bf9f83-2e8f-47cf-a4f2-97f2beceebc1.wav,0.0,2.76,1,train_augmentation_only,noise_high,42,44160,44160,0.7998274564743042,0.7998274564743042,10.0,,0.5775203616904401,806bb50e-7474-43ce-8bf7-384b2cc674c5_seg_0,806bb50e-7474-43ce-8bf7-384b2cc674c5,COUGHVID_UUID::806bb50e-7474-43ce-8bf7-384b2cc674c5,2.0,COUGHVID
12,00ce5b06-c302-4387-bbd7-86355a4a8c12_seg_0__aug01__noise_moderate,6,00ce5b06-c302-4387-bbd7-86355a4a8c12_seg_0,00ce5b06-c302-4387-bbd7-86355a4a8c12,COUGHVID_UUID::00ce5b06-c302-4387-bbd7-86355a4a8c12,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00ce5b06-c302-4387-bbd7-86355a4a8c12.wav,0.0,9.36,1,train_augmentation_only,noise_moderate,42,149760,149760,0.9993157386779785,0.9982392191886902,20.0,,0.1250057174859153,72167_seg_0,72167,FSD50K_UPLOADER::ifartinurgeneraldirection,3.0,FSD50K
13,00ce5b06-c302-4387-bbd7-86355a4a8c12_seg_0__aug02__pitch_down,6,00ce5b06-c302-4387-bbd7-86355a4a8c12_seg_0,00ce5b06-c302-4387-bbd7-86355a4a8c12,COUGHVID_UUID::00ce5b06-c302-4387-bbd7-86355a4a8c12,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00ce5b06-c302-4387-bbd7-86355a4a8c12.wav,0.0,9.36,1,train_augmentation_only,pitch_down,42,149760,149760,0.9993157386779785,0.7955054044723511,,-1.5,,,,,,
14,00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0__aug01__pitch_down,7,00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0,00ddf050-6939-4f33-9e54-fcb309b895ec,COUGHVID_UUID::00ddf050-6939-4f33-9e54-fcb309b895ec,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00ddf050-6939-4f33-9e54-fcb309b895ec.wav,0.0,9.12,1,train_augmentation_only,pitch_down,42,145920,145920,1.1738243103027344,0.9990000128746033,,-1.5,,,,,,
15,00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0__aug02__noise_high,7,00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0,00ddf050-6939-4f33-9e54-fcb309b895ec,COUGHVID_UUID::00ddf050-6939-4f33-9e54-fcb309b895ec,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00ddf050-6939-4f33-9e54-fcb309b895ec.wav,0.0,9.12,1,train_augmentation_only,noise_high,42,145920,145920,1.1738243103027344,0.9990000128746033,10.0,,0.12667592674110562,273151_seg_0,273151,FSD50K_UPLOADER::hoerspielwerkstatt_hef,1.0,FSD50K
16,00eead73-a2c2-480d-b2ee-d79b1a526871_seg_0__aug01__pitch_up,8,00eead73-a2c2-480d-b2ee-d79b1a526871_seg_0,00eead73-a2c2-480d-b2ee-d79b1a526871,COUGHVID_UUID::00eead73-a2c2-480d-b2ee-d79b1a526871,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00eead73-a2c2-480d-b2ee-d79b1a526871.wav,0.0,3.6,1,train_augmentation_only,pitch_up,42,57600,57600,0.8054075241088867,0.5055592060089111,,1.5,,,,,,
17,00eead73-a2c2-480d-b2ee-d79b1a526871_seg_0__aug02__noise_high,8,00eead73-a2c2-480d-b2ee-d79b1a526871_seg_0,00eead73-a2c2-480d-b2ee-d79b1a526871,COUGHVID_UUID::00eead73-a2c2-480d-b2ee-d79b1a526871,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00eead73-a2c2-480d-b2ee-d79b1a526871.wav,0.0,3.6,1,train_augmentation_only,noise_high,42,57600,57600,0.8054075241088867,0.8064737915992737,10.0,,0.14038136887401367,92367_seg_0,92367,FSD50K_UPLOADER::sandyrb,4.0,FSD50K
18,015576c8-2b03-4dcb-b251-78a984fe86fe_seg_0__aug01__noise_high,10,015576c8-2b03-4dcb-b251-78a984fe86fe_seg_0,015576c8-2b03-4dcb-b251-78a984fe86fe,COUGHVID_UUID::015576c8-2b03-4dcb-b251-78a984fe86fe,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\015576c8-2b03-4dcb-b251-78a984fe86fe.wav,0.0,9.78,1,train_augmentation_only,noise_high,42,156480,156480,0.8706554174423218,0.8595397472381592,10.0,,0.023306538815525024,158622_seg_0,158622,FSD50K_UPLOADER::mrst3v3n999,3.0,FSD50K
19,015576c8-2b03-4dcb-b251-78a984fe86fe_seg_0__aug02__noise_moderate,10,015576c8-2b03-4dcb-b251-78a984fe86fe_seg_0,015576c8-2b03-4dcb-b251-78a984fe86fe,COUGHVID_UUID::015576c8-2b03-4dcb-b251-78a984fe86fe,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\015576c8-2b03-4dcb-b251-78a984fe86fe.wav,0.0,9.78,1,train_augmentation_only,noise_moderate,42,156480,156480,0.8706554174423218,0.8707224130630493,20.0,,0.09839195283354894,328826_seg_0,328826,FSD50K_UPLOADER::magedu,3.0,FSD50K
20,01567151-7bb2-45ee-9aa8-a1332b5941ea_seg_0__aug01__pitch_down,11,01567151-7bb2-45ee-9aa8-a1332b5941ea_seg_0,01567151-7bb2-45ee-9aa8-a1332b5941ea,COUGHVID_UUID::01567151-7bb2-45ee-9aa8-a1332b5941ea,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01567151-7bb2-45ee-9aa8-a1332b5941ea.wav,0.0,9.96,1,train_augmentation_only,pitch_down,42,159360,159360,1.0512354373931885,0.9683284759521484,,-1.5,,,,,,
21,01567151-7bb2-45ee-9aa8-a1332b5941ea_seg_0__aug02__noise_high,11,01567151-7bb2-45ee-9aa8-a1332b5941ea_seg_0,01567151-7bb2-45ee-9aa8-a1332b5941ea,COUGHVID_UUID::01567151-7bb2-45ee-9aa8-a1332b5941ea,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01567151-7bb2-45ee-9aa8-a1332b5941ea.wav,0.0,9.96,1,train_augmentation_only,noise_high,42,159360,159360,1.0512354373931885,0.9990000128746033,10.0,,2.5427818766099084,184582_seg_0,184582,FSD50K_UPLOADER::magnus589,1.0,FSD50K
22,01614a4a-947f-43ca-a609-fc2787509f6f_seg_0__aug01__noise_high,13,01614a4a-947f-43ca-a609-fc2787509f6f_seg_0,01614a4a-947f-43ca-a609-fc2787509f6f,COUGHVID_UUID::01614a4a-947f-43ca-a609-fc2787509f6f,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01614a4a-947f-43ca-a609-fc2787509f6f.wav,0.0,9.96,1,train_augmentation_only,noise_high,42,159360,159360,0.9253155589103699,0.9222930669784546,10.0,,0.44199326546872686,189428_seg_0,189428,FSD50K_UPLOADER::dobroide,0.0,FSD50K
23,01614a4a-947f-43ca-a609-fc2787509f6f_seg_0__aug02__pitch_down,13,01614a4a-947f-43ca-a609-fc2787509f6f_seg_0,01614a4a-947f-43ca-a609-fc2787509f6f,COUGHVID_UUID::01614a4a-947f-43ca-a609-fc2787509f6f,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01614a4a-947f-43ca-a609-fc2787509f6f.wav,0.0,9.96,1,train_augmentation_only,pitch_down,42,159360,159360,0.9253155589103699,0.8391128778457642,,-1.5,,,,,,
24,0177b817-0ba3-498a-bc05-48bc66cc91b8_seg_0__aug01__pitch_down,14,0177b817-0ba3-498a-bc05-48bc66cc91b8_seg_0,0177b817-0ba3-498a-bc05-48bc66cc91b8,COUGHVID_UUID::0177b817-0ba3-498a-bc05-48bc66cc91b8,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0177b817-0ba3-498a-bc05-48bc66cc91b8.wav,0.0,9.9,1,train_augmentation_only,pitch_down,42,158400,158400,0.8493214845657349,0.48118436336517334,,-1.5,,,,,,
25,0177b817-0ba3-498a-bc05-48bc66cc91b8_seg_0__aug02__noise_moderate,14,0177b817-0ba3-498a-bc05-48bc66cc91b8_seg_0,0177b817-0ba3-498a-bc05-48bc66cc91b8,COUGHVID_UUID::0177b817-0ba3-498a-bc05-48bc66cc91b8,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0177b817-0ba3-498a-bc05-48bc66cc91b8.wav,0.0,9.9,1,train_augmentation_only,noise_moderate,42,158400,158400,0.8493214845657349,0.8491148352622986,20.0,,0.6084118147093587,398122_seg_1,398122,FSD50K_UPLOADER::blimp66,2.0,FSD50K
26,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_seg_0__aug01__noise_high,15,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_seg_0,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7,COUGHVID_UUID::01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7.wav,0.0,9.78,1,train_augmentation_only,noise_high,42,156480,156480,0.8723461031913757,0.9990000128746033,10.0,,4.454631140120441,76277_seg_0,76277,FSD50K_UPLOADER::kyster,4.0,FSD50K
27,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_seg_0__aug02__pitch_down,15,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_seg_0,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7,COUGHVID_UUID::01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7.wav,0.0,9.78,1,train_augmentation_only,pitch_down,42,156480,156480,0.8723461031913757,0.7900047302246094,,-1.5,,,,,,
28,01f97898-9ec4-480b-9fcc-a9daa737106d_seg_0__aug01__noise_high,16,01f97898-9ec4-480b-9fcc-a9daa737106d_seg_0,01f97898-9ec4-480b-9fcc-a9daa737106d,COUGHVID_UUID::01f97898-9ec4-480b-9fcc-a9daa737106d,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01f97898-9ec4-480b-9fcc-a9daa737106d.wav,0.0,9.84,1,train_augmentation_only,noise_high,42,157440,157440,0.9769350290298462,0.9990000128746033,10.0,,0.483461199385427,100316_seg_0,100316,FSD50K_UPLOADER::ifartinurgeneraldirection,3.0,FSD50K
29,01f97898-9ec4-480b-9fcc-a9daa737106d_seg_0__aug02__noise_moderate,16,01f97898-9ec4-480b-9fcc-a9daa737106d_seg_0,01f97898-9ec4-480b-9fcc-a9daa737106d,COUGHVID_UUID::01f97898-9ec4-480b-9fcc-a9daa737106d,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01f97898-9ec4-480b-9fcc-a9daa737106d.wav,0.0,9.84,1,train_augmentation_only,noise_moderate,42,157440,157440,0.9769350290298462,0.9702936410903931,20.0,,1.6637123443809767,416686_seg_0,416686,FSD50K_UPLOADER::funwithsound,3.0,FSD50K
30,01ff40e8-63e6-4570-a463-9778ea30cad7_seg_0__aug01__pitch_up,17,01ff40e8-63e6-4570-a463-9778ea30cad7_seg_0,01ff40e8-63e6-4570-a463-9778ea30cad7,COUGHVID_UUID::01ff40e8-63e6-4570-a463-9778ea30cad7,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01ff40e8-63e6-4570-a463-9778ea30cad7.wav,0.0,9.54,1,train_augmentation_only,pitch_up,42,152640,152640,1.0602859258651733,0.9990000128746033,,1.5,,,,,,
31,01ff40e8-63e6-4570-a463-9778ea30cad7_seg_0__aug02__noise_moderate,17,01ff40e8-63e6-4570-a463-9778ea30cad7_seg_0,01ff40e8-63e6-4570-a463-9778ea30cad7,COUGHVID_UUID::01ff40e8-63e6-4570-a463-9778ea30cad7,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\01ff40e8-63e6-4570-a463-9778ea30cad7.wav,0.0,9.54,1,train_augmentation_only,noise_moderate,42,152640,152640,1.0602859258651733,0.9990000128746033,20.0,,0.9040508428073211,36170_seg_0,36170,FSD50K_UPLOADER::erh,0.0,FSD50K
32,024cbe41-7932-40ed-a9d3-67c174658637_seg_0__aug01__noise_moderate,18,024cbe41-7932-40ed-a9d3-67c174658637_seg_0,024cbe41-7932-40ed-a9d3-67c174658637,COUGHVID_UUID::024cbe41-7932-40ed-a9d3-67c174658637,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\024cbe41-7932-40ed-a9d3-67c174658637.wav,0.0,9.84,1,train_augmentation_only,noise_moderate,42,157440,157440,0.8844360113143921,0.8841981887817383,20.0,,0.030676066838711758,208034_seg_0,208034,FSD50K_UPLOADER::dland,1.0,FSD50K
33,024cbe41-7932-40ed-a9d3-67c174658637_seg_0__aug02__pitch_up,18,024cbe41-7932-40ed-a9d3-67c174658637_seg_0,024cbe41-7932-40ed-a9d3-67c174658637,COUGHVID_UUID::024cbe41-7932-40ed-a9d3-67c174658637,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\024cbe41-7932-40ed-a9d3-67c174658637.wav,0.0,9.84,1,train_augmentation_only,pitch_up,42,157440,157440,0.8844360113143921,0.558762788772583,,1.5,,,,,,
34,0311ee9e-b265-4767-ba51-f3fc8176747a_seg_0__aug01__pitch_down,19,0311ee9e-b265-4767-ba51-f3fc8176747a_seg_0,0311ee9e-b265-4767-ba51-f3fc8176747a,COUGHVID_UUID::0311ee9e-b265-4767-ba51-f3fc8176747a,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0311ee9e-b265-4767-ba51-f3fc8176747a.wav,0.0,9.96,1,train_augmentation_only,pitch_down,42,159360,159360,0.9041972756385803,0.5393249988555908,,-1.5,,,,,,
35,0311ee9e-b265-4767-ba51-f3fc8176747a_seg_0__aug02__pitch_up,19,0311ee9e-b265-4767-ba51-f3fc8176747a_seg_0,0311ee9e-b265-4767-ba51-f3fc8176747a,COUGHVID_UUID::0311ee9e-b265-4767-ba51-f3fc8176747a,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0311ee9e-b265-4767-ba51-f3fc8176747a.wav,0.0,9.96,1,train_augmentation_only,pitch_up,42,159360,159360,0.9041972756385803,0.6069964170455933,,1.5,,,,,,
36,031fd54a-87b5-4223-9af6-60985127fb7a_seg_0__aug01__noise_high,20,031fd54a-87b5-4223-9af6-60985127fb7a_seg_0,031fd54a-87b5-4223-9af6-60985127fb7a,COUGHVID_UUID::031fd54a-87b5-4223-9af6-60985127fb7a,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\031fd54a-87b5-4223-9af6-60985127fb7a.wav,0.0,5.1,1,train_augmentation_only,noise_high,42,81600,81600,0.9282394647598267,0.909095823764801,10.0,,1.6882434060743168,173063_seg_0,173063,FSD50K_UPLOADER::zabuhailo,0.0,FSD50K
37,031fd54a-87b5-4223-9af6-60985127fb7a_seg_0__aug02__pitch_down,20,031fd54a-87b5-4223-9af6-60985127fb7a_seg_0,031fd54a-87b5-4223-9af6-60985127fb7a,COUGHVID_UUID::031fd54a-87b5-4223-9af6-60985127fb7a,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\031fd54a-87b5-4223-9af6-60985127fb7a.wav,0.0,5.1,1,train_augmentation_only,pitch_down,42,81600,81600,0.9282394647598267,0.4595399796962738,,-1.5,,,,,,
38,033da4e3-7365-4adc-9252-7347816e4e77_seg_0__aug01__pitch_up,21,033da4e3-7365-4adc-9252-7347816e4e77_seg_0,033da4e3-7365-4adc-9252-7347816e4e77,COUGHVID_UUID::033da4e3-7365-4adc-9252-7347816e4e77,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\033da4e3-7365-4adc-9252-7347816e4e77.wav,0.0,9.96,1,train_augmentation_only,pitch_up,42,159360,159360,0.9259216785430908,0.5941610932350159,,1.5,,,,,,
39,033da4e3-7365-4adc-9252-7347816e4e77_seg_0__aug02__noise_high,21,033da4e3-7365-4adc-9252-7347816e4e77_seg_0,033da4e3-7365-4adc-9252-7347816e4e77,COUGHVID_UUID::033da4e3-7365-4adc-9252-7347816e4e77,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\033da4e3-7365-4adc-9252-7347816e4e77.wav,0.0,9.96,1,train_augmentation_only,noise_high,42,159360,159360,0.9259216785430908,0.945111095905304,10.0,,0.2925764968609001,331569_seg_0,331569,FSD50K_UPLOADER::pac007,2.0,FSD50K
40,03430d6b-4554-4ffe-8c82-507832dc1d52_seg_0__aug01__noise_high,22,03430d6b-4554-4ffe-8c82-507832dc1d52_seg_0,03430d6b-4554-4ffe-8c82-507832dc1d52,COUGHVID_UUID::03430d6b-4554-4ffe-8c82-507832dc1d52,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\03430d6b-4554-4ffe-8c82-507832dc1d52.wav,0.0,1.44,1,train_augmentation_only,noise_high,42,23040,23040,0.861974835395813,0.9097966551780701,10.0,,2.6487865043274126,19151_seg_0,19151,FSD50K_UPLOADER::fratz,4.0,FSD50K
41,03430d6b-4554-4ffe-8c82-507832dc1d52_seg_0__aug02__pitch_down,22,03430d6b-4554-4ffe-8c82-507832dc1d52_seg_0,03430d6b-4554-4ffe-8c82-507832dc1d52,COUGHVID_UUID::03430d6b-4554-4ffe-8c82-507832dc1d52,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\03430d6b-4554-4ffe-8c82-507832dc1d52.wav,0.0,1.44,1,train_augmentation_only,pitch_down,42,23040,23040,0.861974835395813,0.5208929181098938,,-1.5,,,,,,
42,034aa6d3-6673-47a1-a319-325aa9be44a2_seg_0__aug01__pitch_down,23,034aa6d3-6673-47a1-a319-325aa9be44a2_seg_0,034aa6d3-6673-47a1-a319-325aa9be44a2,COUGHVID_UUID::034aa6d3-6673-47a1-a319-325aa9be44a2,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\034aa6d3-6673-47a1-a319-325aa9be44a2.wav,0.0,4.38,1,train_augmentation_only,pitch_down,42,70080,70080,0.8741815090179443,0.8416709899902344,,-1.5,,,,,,
43,034aa6d3-6673-47a1-a319-325aa9be44a2_seg_0__aug02__noise_high,23,034aa6d3-6673-47a1-a319-325aa9be44a2_seg_0,034aa6d3-6673-47a1-a319-325aa9be44a2,COUGHVID_UUID::034aa6d3-6673-47a1-a319-325aa9be44a2,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\034aa6d3-6673-47a1-a319-325aa9be44a2.wav,0.0,4.38,1,train_augmentation_only,noise_high,42,70080,70080,0.8741815090179443,0.872817873954773,10.0,,1.319797971571189,180153_seg_0,180153,FSD50K_UPLOADER::mariolega,3.0,FSD50K
44,0352b80b-3c92-44f2-abbf-d6c056e02ee9_seg_0__aug01__noise_moderate,24,0352b80b-3c92-44f2-abbf-d6c056e02ee9_seg_0,0352b80b-3c92-44f2-abbf-d6c056e02ee9,COUGHVID_UUID::0352b80b-3c92-44f2-abbf-d6c056e02ee9,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0352b80b-3c92-44f2-abbf-d6c056e02ee9.wav,0.0,4.14,1,train_augmentation_only,noise_moderate,42,66240,66240,0.741997241973877,0.7590767741203308,20.0,,0.17799795738545013,379297_seg_1,379297,FSD50K_UPLOADER::13fpanska_kamm_oliver,1.0,FSD50K
45,0352b80b-3c92-44f2-abbf-d6c056e02ee9_seg_0__aug02__pitch_up,24,0352b80b-3c92-44f2-abbf-d6c056e02ee9_seg_0,0352b80b-3c92-44f2-abbf-d6c056e02ee9,COUGHVID_UUID::0352b80b-3c92-44f2-abbf-d6c056e02ee9,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0352b80b-3c92-44f2-abbf-d6c056e02ee9.wav,0.0,4.14,1,train_augmentation_only,pitch_up,42,66240,66240,0.741997241973877,0.5313124656677246,,1.5,,,,,,
