split_group,dataset_origin,uploader,split,fold,recording_count,no_cough_count,cough_count,new_fsd50k_cough_count
COUGHVID_UUID::0d6054d1-f83e-415b-85dc-8ccc318d1100,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0d62d429-5782-4f40-b682-9aa5bdd5cedf,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0d930dca-d29e-4b69-a211-79ce69081c97,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0db7625d-01c1-4b73-9879-c5609838c746,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0dbd034b-71d1-4927-8f33-c0645f42c47a,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0dcae895-e7c6-4e47-a399-29f22b37e075,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0dfa1560-9b26-4474-a9d9-d96c05424fbc,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0e2f8fe3-12aa-464f-a4cc-312efa425b98,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0e39d36c-e428-4a02-ad64-1e38ab0d661c,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0e8c849d-9a13-4d43-b6b5-be14a334b77c,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0e989f65-989f-4b9a-beb7-f56e2e8ac468,COUGHVID,,train,3,1,1,0,0
COUGHVID_UUID::0eba0c0a-5609-4777-903d-b15292798250,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0ebb8b25-3a7e-4018-81c6-c93c832fa769,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0ebcd337-e754-4955-a935-f7b3f04ec5ff,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0ed0f24e-8e57-4183-9b9f-837a701f87df,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0ef3c0bc-56c3-44da-bea0-dc31a158414a,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0f04746a-08e0-40a2-9431-2f57f9166720,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0f15c5f7-c09e-4755-b9db-8127fb9f0a07,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0f1d05f5-1d1f-452c-be28-fb0c7b8085c4,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0f22e116-d0d6-4efb-9444-fc351ff5964a,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0f38cc71-e212-481e-ad6f-7ab087eb3cdb,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0f48e572-df90-4dd5-a30c-6a79f96cc50d,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0f4b20af-c6bc-4da8-8f29-bd291bcb55e7,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0f639e53-8c24-4a2b-a87e-07a2125c5943,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0f746594-9aa2-4681-addd-bea6230b9027,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0f79324e-9dc6-4f6c-8c13-2a3041f044d1,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0f87635c-4a6c-4c84-aaae-34afc236c22b,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0f8d80f9-700e-4069-924d-e15f29d7c19a,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0f8fb3e0-1a30-4bd3-982a-24342a0bdc70,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0fba2d94-9941-4b3e-aa06-45c9f164dce7,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0fbbcd89-d79a-49ec-b207-c0f2f32d8d50,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0ff8a246-cc95-42fe-8e5a-4243c274793e,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::1005ef8a-7d26-441e-bf06-8849165038d0,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::100fa960-30ee-4dfd-9364-38cf878709a0,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::10344906-5f7c-4d1d-93a8-56585cc33b2f,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::105d18a9-f281-4e4c-bb7d-1ad9885696c9,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::1063e6ef-babd-4765-b029-bf92475dc9e3,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::1080b72c-f243-4e5d-96e5-a9c12c0eaed0,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::10aed3ae-9ec1-4041-bac6-90b1d4634aee,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::10cc0a58-4dd3-41ae-a12a-ca28102c8688,COUGHVID,,train,3,1,1,0,0
COUGHVID_UUID::111ccb19-92b9-43e2-b44a-38cde5bf0ca5,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::1122a43f-1a4b-4292-903e-963b8463a56c,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::11237f1a-3eb2-4cf7-80f7-116df4b1699a,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::11837fe5-a206-4b9a-8fe4-1aec20701101,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::11a0ef13-989a-4262-8329-e47b254ad8e7,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::11c1e2d8-52e2-4e32-8ab8-b858268e0ca9,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::11e0ed82-8f65-4a71-81cf-20fed63f9e51,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::11f2a916-e3d5-4c8a-a339-d1d3e1c5f4d3,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::12519d8d-43bb-4ed7-9c76-03d3fb486c4a,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::125243ce-cda2-4412-a38c-474dd3875d1f,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::126b940c-b6c6-4d3d-adc2-92aafab911b4,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::1273d304-c974-473a-b9eb-f8c42e3a8389,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::128aac08-4a43-4a36-ac34-5f294d90ca2e,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::12a1f8a8-d986-477c-a186-501247d38869,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::12a7d4c8-1dea-4ba3-a9a9-73fbeca9cc96,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::12e5c857-56f1-4e02-9490-8b75f25b3ea9,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::134e5ac2-706b-4098-969e-18c24f0f0002,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::1351a8e1-f5e5-4a05-a6a9-4bac18393022,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::1357788c-fd94-45ff-b31d-da0cda859731,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::13606b20-6081-484b-93e2-dd80648bfe06,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::13687fab-9931-4ba3-97da-6b526fa70dbf,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::136d62c4-8b6f-4227-809f-1cdfcf7a767b,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::13851b4d-1ed9-4be5-85c3-b602ab2e8c88,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::139d0f69-4c1c-416c-933e-ab45ea42ff93,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::13b55d58-ad6d-4cb4-933e-80622a4ff240,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::13bbc1cd-358b-4e90-9a35-31428809eb2a,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::13be4c55-d212-4c7e-ab8d-04bf51b30b11,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::13cc16ff-2b44-4740-b7f4-e80cf7404d30,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::13db4f04-6a75-4ae6-a8ed-45efb08cd0a3,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::13ddcdda-6ec1-458f-938c-9f0515a9b642,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::13ec7c23-9c3d-42a7-90e7-ca621e8e2c33,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::141ad4b1-d9b2-407d-9e48-913915c02b74,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::143649de-eec9-4efc-9763-f8e52a38b9fa,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::1443c84e-8b53-4bcf-910f-c55cf1fc9d30,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::1455b3af-0901-43f5-aa16-64fb01113eac,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::14a3c119-bee8-435a-9193-d2ce7cb84a03,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::14b74cd8-f433-4d8c-88ee-c77717c52a1b,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::14b98f74-59eb-407c-b1a4-53064ee45b43,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::14b9f356-c3dd-456f-9875-5125040d0c83,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::14c7b709-ac4d-4aee-bdbc-ac51c11a497e,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::14fb399a-c792-43e2-b852-0e776f8a34a5,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::150de1d1-3e1c-4319-8575-cc8b89f775f3,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::1510dd92-a632-48ad-b5e7-1853a9e8e61d,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::151ebdf7-c5cf-48ba-9105-49e69c639578,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::152f0e31-c633-493d-966a-d3d0330e2afc,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::154161ff-1243-49c0-a377-72992b6954e3,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::15704523-4a4e-43f0-9b25-47d6a674f9ff,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::159c098b-ec97-45cf-aeb7-ff389a98d95c,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::15a0a034-354e-4637-b74c-9653763e0862,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::15a88a65-a01f-4d31-9cb3-a8b46bb8b780,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::15f12b8d-7ba5-444e-975f-f1b26c6e75ae,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::1614e597-81d6-4db4-9bed-43eff6c8effc,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::161d1ac7-7dc1-440e-96e1-fa091f76d828,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::1645e119-c9ee-4cf8-9a87-31bcc8b025bb,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::164ff16d-2af8-4724-9a57-3b3bd7e17839,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::16527cdc-bf15-4805-8f8d-28b11175ff5d,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::167b1c65-40e6-4330-8dc7-d51d735ccdab,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::16a0e4d0-f2aa-4737-99af-70b21b31d0a5,COUGHVID,,train,2,1,0,1,0
