split_group,split,fold,dataset_origin,uploader,n_segments,n_positive_segments,quality_split_role
COUGHVID_UUID::100fa960-30ee-4dfd-9364-38cf878709a0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1080b72c-f243-4e5d-96e5-a9c12c0eaed0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::125243ce-cda2-4412-a38c-474dd3875d1f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::128aac08-4a43-4a36-ac34-5f294d90ca2e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::136d62c4-8b6f-4227-809f-1cdfcf7a767b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::139d0f69-4c1c-416c-933e-ab45ea42ff93,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::13b55d58-ad6d-4cb4-933e-80622a4ff240,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::141ad4b1-d9b2-407d-9e48-913915c02b74,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::14c7b709-ac4d-4aee-bdbc-ac51c11a497e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1645e119-c9ee-4cf8-9a87-31bcc8b025bb,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::16a0e4d0-f2aa-4737-99af-70b21b31d0a5,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::17b54f0d-2f96-4f6d-ae52-ac2e31bcc692,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::17ff41b3-1ac5-4689-b5f1-056851201c26,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::18119284-4400-42b1-aa87-883ebdb71cf6,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::183ad348-a149-4546-b57c-519747f09784,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1853c64d-a058-471d-8409-84fd2afb5edd,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::186140ce-71c8-4272-bb15-9e5b9fdf578e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::18c36541-7566-4f46-8264-3716e2e71f30,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::18e49b6e-60e4-4eb1-8de8-e8261576dbfc,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1930bce0-6443-45d3-a33d-2802fa64f07b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::195f9381-cf35-45da-b0ae-cc4ed04e9283,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::19cb6e8b-d747-4770-8770-9211d31f2fc6,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1a0d7c38-e644-4c5d-9ba0-bf9bdc0bffd6,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1adc614f-9f34-451c-ac33-47a411f0a06d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1b25273d-6761-47f7-b1e3-36ed0d0b4701,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1c13288a-9ef9-4027-9ca6-06472a106fb1,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1c34e7b6-708b-412c-b934-4af1e2990f67,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1cc88f3a-3529-4cb8-a167-fc0cb5b0bfb6,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1d19775f-175d-4fdd-8dfe-c080a0c8de45,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1d5264ed-d766-4104-b2e0-4f6d763f4331,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1e3c046d-82f7-445e-b6c3-06441f3da506,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1e4a8472-c9f7-4677-a92a-0e1ff412ab5b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1e7be325-faea-4c05-b0ea-0ca8a2e205f2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1f6a497a-7d48-4db2-be34-c7760e427427,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::1fd4bd15-88c4-47ae-bbe3-2434af431df5,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::211c948b-1f0f-4e9d-ba8a-45aaf9496a78,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::21cffd04-bad1-4b15-8e09-56406780f640,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::23af8bd7-29db-44ff-8dde-d068d3b6713a,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::240021ec-048e-431d-9548-11d7c234389e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2456a0d5-dfa2-44ce-8b09-5b15ae34d314,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::254cae14-594b-47c3-b62c-48b35e85d338,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::256722b7-a445-4dad-a05f-c15c7ffe06e3,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::26194021-bc50-4a4f-b49e-e36a01041b49,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::261ba795-7e12-4129-8671-7dde899cfc3f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::26d7e2c7-6614-4dfc-af30-acefde8a21a9,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::27affacb-c223-47c1-a643-f8ebe229e582,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::281c6a0e-d4b7-422f-84d0-e1afa02c1bf2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::294acf4f-8fda-4d91-adcd-f125ba9bf623,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2af862d9-7cac-4270-97de-ae4b4c293d07,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2bf8823d-9212-4cd9-9eb6-564cd5f1ddf4,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2c7c3d6f-f871-48a0-babe-aa59ba2fe9d0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2cf721bd-cb1c-4634-8417-ec55ff9a864b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2e4ca5b9-2e1f-4e81-b830-c75ae040dfb4,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2e5ab77f-2365-4396-8eb5-480ebce9beb8,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2e5be083-a771-4769-99b6-ac9a0473755b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::2ee4b7ab-b9cf-4461-97c5-5474e114b880,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::306d3ace-9b3b-4285-ba5c-86b0797987c9,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::309f7a85-57c3-4b1f-baa9-d1290d1d1b23,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::30c7cf4c-a067-4349-99dc-c6fcfea194e0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::30d6b101-9736-4522-a2d9-4f010d3e72b0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3252c6f8-e7bf-41ec-8105-87c2a74739a2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::336b15df-b282-4956-bb68-548ec950bb2f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::35618eb7-d045-42b0-8207-e6b80b58e920,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::35763bb6-ae9f-4cf5-9087-8919cddaf238,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::35a40835-dc69-4e0d-b833-6b58df25c8cc,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::365c7aae-f8a9-4ba0-9d06-49b3ed915c24,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3733c427-2c04-48ee-8e8d-82f38a184b04,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::38cd2f39-edad-4c95-a338-c127c6ae3517,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3938fac1-ae70-4148-90ea-59abb26459c1,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3a283026-4937-4cc3-ac9e-9d9382a56d10,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3a51bf1c-229b-4513-b75b-7efc442b4f75,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3a85240c-0310-48c8-aef7-2337fbbbf168,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::3b8e6988-cee6-4836-8c59-7ea1258b99b5,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3cbd8630-11c0-4df0-a8c5-5200bec45213,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3cd85fba-3410-4c56-81ba-ef1be7617582,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::3eb220d3-3d77-4af3-a525-062776fdd43f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::42e6746e-1485-4272-a84e-876d56a7d2f0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4376cf7a-db13-4730-b2bd-890bd5e5cb8b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::43ec41c8-e667-42e8-8018-167b6a2c9b98,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::46e84354-e27c-496f-ae99-fb18651aa0fc,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::48aacddd-c0ea-43b3-9e80-5f38c43a348c,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::48c58e7f-6412-4982-a9fa-c139a5485023,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::48d28621-e417-47ae-ab2b-54e659e9df04,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::48fbbe76-191f-4297-8e87-aa86fc3b6097,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::49281918-b0c1-43c8-8cd7-6f1e440b8c6c,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::49944a66-4aa3-4986-b3de-10efa29e13d4,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4c228eb9-c543-4688-a93f-4ac0cd879b6b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4c58cf95-9b2e-4091-adaa-0ac06a355c48,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4c71fdad-b09a-43be-b8d4-8cd3520c1aa2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4c8dd69a-48be-4ebb-b18c-443e6fe7ec70,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4ce2e724-6740-4a30-a743-61c2961565d7,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::4cfe71ea-00f2-4595-9903-85dd74968690,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::50320ca2-20c8-4322-b98a-d2c8f46fd42d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::52de6b02-84b4-4e74-9061-983488b4e300,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::53325adb-0ff2-480a-8af0-fd9da2a10322,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::54a087f0-2544-4633-bb71-3c1fa989f1c8,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5607860e-70fd-4fab-8e93-158ecedabdaa,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::563ae851-f40b-490c-99c9-1acf9c269a3c,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::589c25e2-58b8-4cd2-a2aa-47819f71181e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::58f32c3f-7baf-4f47-91f1-ba5edbceee24,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::59ce4d68-d3d6-48c8-9df7-fcd6621899d6,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::59efaff8-1df6-4d68-807e-63ff8a257f22,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5aa9d0aa-28d8-477c-8fd1-e59beb9823f0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5b5fb2f4-900a-4023-b4fd-c55b66dc065b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5b8a46e1-945b-4c87-847a-9bbf90a965a9,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::5c5888da-63a8-4357-acad-3b371173db46,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5ca5f270-3914-4313-8191-1bff6f2e75b3,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5e282c62-6186-4dda-a15b-52b8b59a3b8e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::5f0a1915-2cd5-41fb-9887-e17ab27b515e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6062d06c-ef24-41f1-87ea-fcd1c28728ed,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::6088ee03-f819-40a2-bf26-29058e301ddd,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6208f70a-1cd0-4428-a68e-b3db1bc8abf7,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::62de2524-c400-459b-98a2-746e0ed84eb2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6352a786-97a0-4d0a-9dcd-5c68c8effb9b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::64449382-d287-4364-8dd8-005d240dbe3c,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::64e5b75c-8c2d-4640-920b-734c7e126616,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::65377101-a88f-4eac-a971-03121f14bab2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::660f52df-42dc-49e9-ac87-473c6db99d17,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::68c747d5-f364-4ec2-b696-176bdf6066d3,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6a2505b9-61a4-4fd3-81ee-c63140ab2b5e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6ac1cde9-7727-49d2-848c-983e2e541845,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6c7893ac-4ca9-47af-8a91-fd0926dd7f39,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6d73708f-f815-410f-b6a1-76cec2a7754c,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::6f72703b-d44b-441b-a859-9007263ddd37,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::70dbb19c-8c7a-45d4-9d2a-cd2272cc7ccb,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::70ea9638-f7e3-4f16-bb97-7d066a0e6cdf,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::72cccce3-a019-4b87-a062-d4268588a49c,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7465377a-8963-4a0e-bd1b-92a8924b1ccb,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::76e8a4af-709e-4311-ab93-135b90ffaf49,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::774bafb8-5d1c-42c5-a0a8-91ba0a85a04b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::77cd79c9-1154-4da6-b9d4-6befbbc2754e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7876c549-066a-4ea1-a82e-45772114f964,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::78983a8c-5737-4693-bfd1-e7d9274cac15,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::7a20fe3e-5701-451c-b5c9-b8daf5b328e3,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7ae1ffe1-2259-411f-8ead-6c107e01e824,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7bff1a51-ef9b-461d-9d5f-4538d74b0fd9,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7c3d9217-c501-4628-bd25-808b65d612b1,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7d4263a0-687a-4a88-a377-9c1dfd548377,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::7ddc9d8f-ed3b-4f9d-8abf-2e4d01aa09b2,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7e8b7fda-0d79-40e1-a846-d48446c47ea0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7ea8e1c6-d853-4f83-92de-92877e833256,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7f6db48d-de3f-4a30-bd9a-5216b0b3261b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::7ff46c27-d502-4898-be9d-24f01982825b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::806bb50e-7474-43ce-8bf7-384b2cc674c5,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::80b89e0e-8ae8-4c2a-9f7d-29f85e539ca3,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8200cbb2-14dd-440a-9943-1d9c6ce94768,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::87cb9c68-017e-4791-bca3-648a13ee3372,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::881d892d-f3a9-4409-82d3-1f43c7ce5047,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::88571a5b-7d25-4373-86f8-f784dbceabec,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::885b7762-bc4a-429e-8f19-bf62558a935b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::88bad32c-a9b8-427d-abb9-a9b14202805a,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8905d5ea-2412-4222-93f8-95cd4455f8e4,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8b50115d-5e51-4fa0-9521-f6ecc0b6527d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8b96d238-8053-4b15-86b6-a31f448dda73,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8c9af778-13db-4555-822c-12a7a4931834,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8debc554-dee0-49c8-8a54-34c26de4190d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8e71e6ef-4cde-4ccd-9407-cc37f808a1cb,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8f5531fb-5c2a-450b-b14c-4321085887d8,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::8f7b3899-9af6-48d1-93c7-02b2823a699f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::90d19009-344d-4ffc-a999-56fc6dbf29a6,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::920ae37e-af2e-4e43-a80e-2150a66db6b1,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::927ae69c-d4b6-484e-b651-7b76c9c1d9d5,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::928ce384-ca55-4419-acab-516b2647a77d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::93e41aeb-7147-4335-874a-45fcbbe54858,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::963eb20b-9874-42ea-8fb9-dab787876248,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::970f633d-6dda-447a-884a-95dfc4798326,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::9784d1a9-0bf7-4655-9108-7cae227dba2d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::97f5ca3d-020a-475c-addd-e52d733f571b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::9821da28-7655-4736-abf8-4c89582e407f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::99d322ed-c367-4d45-b6d1-f008b47f1af9,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::9b8b9c77-650e-421a-bc08-bec7e996ad16,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::9bdef567-3097-4553-8dab-beed4036d779,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::9de64933-30f9-4735-bf25-c4d16f0e9b2f,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::9e169e54-7024-4d03-bfa8-567dd5679efe,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::9fbcfd6c-6dca-43b7-af69-91a07eaa3c3d,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a01cecbf-754b-4fcf-b29f-40688a457f4a,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a03baece-440f-4026-9705-4fcb2bc9e065,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a3508926-8315-4334-8810-ba3da217aabc,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a41864ca-8ce0-4b47-a5b7-c22b75e9139f,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a49d942a-331a-49b5-b755-8659a12fac07,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a4e1a27c-b284-434d-aa9c-e2a90c58388e,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::a4f345d8-2180-487f-b6c0-89bad13edcae,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a5a1c57a-c8ab-4366-bf4a-0b8d21729518,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a5db38cf-708c-4982-b43e-0cdf604d770b,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::a7758e1f-e7b5-42cc-a66d-99966ea8a44e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::aa4877b2-4820-422b-affe-c3d31c1fc70a,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::aa577908-e7cd-485b-adfa-51c6d7828201,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::ab5ca169-33fc-4597-b047-5af78d41dcc8,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::acf20c47-9595-45b9-88e2-2df2a8465fbb,test,-1,COUGHVID,,1,1,forced_poor_cough_test
