review_order,segment_id,original_uuid,start_time,end_time,segment_duration,source_duration_seconds,discarded_tail_seconds,review_audio_filename,manual_decision,notes
21,32169_fsdcough_seg_0,32169,0.0,10.0,10.0,14.106122448979592,0.0,021_32169_fsdcough_seg_0.wav,SI,
22,32169_fsdcough_seg_1,32169,10.0,14.106122448979592,4.106122448979592,14.106122448979592,0.0,022_32169_fsdcough_seg_1.wav,SI,
23,346648_fsdcough_seg_0,346648,0.0,10.0,10.0,14.0,0.0,023_346648_fsdcough_seg_0.wav,SI,
24,346648_fsdcough_seg_1,346648,10.0,14.0,4.0,14.0,0.0,024_346648_fsdcough_seg_1.wav,SI,
25,407839_fsdcough_seg_0,407839,0.0,10.0,10.0,28.47340136054422,8.47340136054422,025_407839_fsdcough_seg_0.wav,SI,
26,407839_fsdcough_seg_1,407839,10.0,20.0,10.0,28.47340136054422,8.47340136054422,026_407839_fsdcough_seg_1.wav,SI,
27,410493_fsdcough_seg_0,410493,0.0,10.0,10.0,11.447437641723356,0.0,027_410493_fsdcough_seg_0.wav,SI,
28,410493_fsdcough_seg_1,410493,10.0,11.447437641723356,1.447437641723356,11.447437641723356,0.0,028_410493_fsdcough_seg_1.wav,NO,
29,432380_fsdcough_seg_0,432380,0.0,10.0,10.0,11.471337868480726,0.0,029_432380_fsdcough_seg_0.wav,SI,
30,432380_fsdcough_seg_1,432380,10.0,11.471337868480726,1.4713378684807257,11.471337868480726,0.0,030_432380_fsdcough_seg_1.wav,NO,
31,45574_fsdcough_seg_0,45574,0.0,10.0,10.0,20.079455782312927,0.07945578231292671,031_45574_fsdcough_seg_0.wav,SI,
32,45574_fsdcough_seg_1,45574,10.0,20.0,10.0,20.079455782312927,0.07945578231292671,032_45574_fsdcough_seg_1.wav,SI,
33,45575_fsdcough_seg_0,45575,0.0,10.0,10.0,18.805260770975057,0.0,033_45575_fsdcough_seg_0.wav,SI,
34,45575_fsdcough_seg_1,45575,10.0,18.805260770975057,8.805260770975057,18.805260770975057,0.0,034_45575_fsdcough_seg_1.wav,SI,
35,45577_fsdcough_seg_0,45577,0.0,10.0,10.0,22.47691609977324,2.4769160997732413,035_45577_fsdcough_seg_0.wav,SI,
36,45577_fsdcough_seg_1,45577,10.0,20.0,10.0,22.47691609977324,2.4769160997732413,036_45577_fsdcough_seg_1.wav,SI,
37,47135_fsdcough_seg_0,47135,0.0,10.0,10.0,17.457120181405894,0.0,037_47135_fsdcough_seg_0.wav,NO,
38,47135_fsdcough_seg_1,47135,10.0,17.457120181405894,7.4571201814058945,17.457120181405894,0.0,038_47135_fsdcough_seg_1.wav,SI,
39,68034_fsdcough_seg_0,68034,0.0,10.0,10.0,14.491292517006803,0.0,039_68034_fsdcough_seg_0.wav,SI,
40,68034_fsdcough_seg_1,68034,10.0,14.491292517006803,4.491292517006803,14.491292517006803,0.0,040_68034_fsdcough_seg_1.wav,NO,
41,84690_fsdcough_seg_0,84690,0.0,10.0,10.0,20.986666666666668,0.9866666666666681,041_84690_fsdcough_seg_0.wav,SI,
42,84690_fsdcough_seg_1,84690,10.0,20.0,10.0,20.986666666666668,0.9866666666666681,042_84690_fsdcough_seg_1.wav,NO,
43,95531_fsdcough_seg_0,95531,0.0,10.0,10.0,14.629024943310656,0.0,043_95531_fsdcough_seg_0.wav,SI,
44,95531_fsdcough_seg_1,95531,10.0,14.629024943310656,4.629024943310656,14.629024943310656,0.0,044_95531_fsdcough_seg_1.wav,NO,
45,125403_fsdcough_seg_0,125403,0.0,10.0,10.0,13.173333333333334,0.0,045_125403_fsdcough_seg_0.wav,SI,
46,125403_fsdcough_seg_1,125403,10.0,13.173333333333334,3.173333333333334,13.173333333333334,0.0,046_125403_fsdcough_seg_1.wav,NO,
47,171542_fsdcough_seg_0,171542,0.0,10.0,10.0,22.04734693877551,2.0473469387755117,047_171542_fsdcough_seg_0.wav,SI,
48,171542_fsdcough_seg_1,171542,10.0,20.0,10.0,22.04734693877551,2.0473469387755117,048_171542_fsdcough_seg_1.wav,SI,
49,184871_fsdcough_seg_0,184871,0.0,10.0,10.0,12.656961451247165,0.0,049_184871_fsdcough_seg_0.wav,SI,
50,184871_fsdcough_seg_1,184871,10.0,12.656961451247165,2.656961451247165,12.656961451247165,0.0,050_184871_fsdcough_seg_1.wav,SI,
51,263935_fsdcough_seg_0,263935,0.0,10.0,10.0,22.46931972789116,2.469319727891161,051_263935_fsdcough_seg_0.wav,NO,
52,263935_fsdcough_seg_1,263935,10.0,20.0,10.0,22.46931972789116,2.469319727891161,052_263935_fsdcough_seg_1.wav,SI,
53,326891_fsdcough_seg_0,326891,0.0,10.0,10.0,21.60807256235828,1.6080725623582808,053_326891_fsdcough_seg_0.wav,SI,
54,326891_fsdcough_seg_1,326891,10.0,20.0,10.0,21.60807256235828,1.6080725623582808,054_326891_fsdcough_seg_1.wav,SI,
55,432377_fsdcough_seg_0,432377,0.0,10.0,10.0,18.06086167800453,0.0,055_432377_fsdcough_seg_0.wav,SI,
56,432377_fsdcough_seg_1,432377,10.0,18.06086167800453,8.060861678004532,18.06086167800453,0.0,056_432377_fsdcough_seg_1.wav,SI,
57,87797_fsdcough_seg_0,87797,0.0,10.0,10.0,18.583219954648527,0.0,057_87797_fsdcough_seg_0.wav,SI,
58,87797_fsdcough_seg_1,87797,10.0,18.583219954648527,8.583219954648527,18.583219954648527,0.0,058_87797_fsdcough_seg_1.wav,SI,
59,87799_fsdcough_seg_0,87799,0.0,10.0,10.0,12.98140589569161,0.0,059_87799_fsdcough_seg_0.wav,SI,
60,87799_fsdcough_seg_1,87799,10.0,12.98140589569161,2.9814058956916103,12.98140589569161,0.0,060_87799_fsdcough_seg_1.wav,SI,
61,87961_fsdcough_seg_0,87961,0.0,10.0,10.0,15.151020408163266,0.0,061_87961_fsdcough_seg_0.wav,SI,
62,87961_fsdcough_seg_1,87961,10.0,15.151020408163266,5.151020408163266,15.151020408163266,0.0,062_87961_fsdcough_seg_1.wav,SI,
63,90073_fsdcough_seg_0,90073,0.0,10.0,10.0,14.848004535147393,0.0,063_90073_fsdcough_seg_0.wav,SI,
64,90073_fsdcough_seg_1,90073,10.0,14.848004535147393,4.848004535147393,14.848004535147393,0.0,064_90073_fsdcough_seg_1.wav,NO,
65,120213_fsdcough_seg_0,120213,0.0,10.0,10.0,29.866666666666667,9.866666666666667,065_120213_fsdcough_seg_0.wav,SI,
66,120213_fsdcough_seg_1,120213,10.0,20.0,10.0,29.866666666666667,9.866666666666667,066_120213_fsdcough_seg_1.wav,NO,
67,218306_fsdcough_seg_0,218306,0.0,10.0,10.0,18.090680272108845,0.0,067_218306_fsdcough_seg_0.wav,SI,
68,218306_fsdcough_seg_1,218306,10.0,18.090680272108845,8.090680272108845,18.090680272108845,0.0,068_218306_fsdcough_seg_1.wav,NO,
